mean_rota_choice_quantity,mean_amount_of_hours,mean_difference_in_rotas,local_fitness,control
2.5,61.5,11.0,0.5714285714285714,False
3.3333333333333335,60.666666666666664,10.0,0.5714285714285714,False
2.8086956521739133,60.791304347826085,10.549199084668192,0.41970567048633517,False
2.8086956521739133,60.84347826086957,10.197406559877956,0.41947259452980273,True
2.8086956521739133,60.495652173913044,11.208237986270023,0.4179905340358537,True
2.8086956521739133,60.93043478260869,10.100381388253242,0.42318840579710143,True
2.8086956521739133,60.7304347826087,11.100839054157133,0.400097482248512,True
2.8086956521739133,60.66086956521739,10.604424103737605,0.42782388830869017,True
2.8086956521739133,60.33913043478261,11.226849733028223,0.42904413785521905,True
2.8086956521739133,60.165217391304346,11.677803203661327,0.4122415503938762,True
2.8086956521739133,59.80869565217391,12.272463768115943,0.4155512127898485,True
2.8086956521739133,60.278260869565216,11.173760488176963,0.4327488594514374,True
2.8086956521739133,60.63478260869565,10.885125858123569,0.41729284391101984,True
2.8086956521739133,60.321739130434786,11.023646071700991,0.42695870110057754,True
2.8086956521739133,60.573913043478264,10.935163996948894,0.4221683489215536,True
2.8086956521739133,60.80869565217391,10.418306636155606,0.4346453860700231,True
2.8086956521739133,60.678260869565214,10.79115179252479,0.41597915527564583,True
2.8086956521739133,60.678260869565214,10.546453089244851,0.4224461692900971,True
2.8086956521739133,60.40869565217391,11.255530129672007,0.40668388940801403,True
2.8086956521739133,60.43478260869565,11.146910755148742,0.4205534310684643,True
2.8086956521739133,60.37391304347826,11.037070938215104,0.42325378664051433,True
2.8086956521739133,61.08695652173913,10.034782608695652,0.40074098289201265,True
2.8086956521739133,60.643478260869564,10.912280701754385,0.4103996042433903,True
2.8086956521739133,60.54782608695652,11.061174675819984,0.41557319926816433,True
2.8086956521739133,60.321739130434786,11.518230358504958,0.4206633634600435,True
2.8086956521739133,60.38260869565217,11.442257818459192,0.41966314140227184,True
